Time,Time Code,Country Name,Country Code,Coal rents (% of GDP) [NY.GDP.COAL.RT.ZS],Forest rents (% of GDP) [NY.GDP.FRST.RT.ZS],Mineral rents (% of GDP) [NY.GDP.MINR.RT.ZS],Natural gas rents (% of GDP) [NY.GDP.NGAS.RT.ZS],Oil rents (% of GDP) [NY.GDP.PETR.RT.ZS],Total natural resources rents (% of GDP) [NY.GDP.TOTL.RT.ZS],Agricultural land (% of land area) ,Arable land (% of land area) ,Forest area (% of land area) 
1990,YR1990,Australia,AUS,0.371730523,0.193009978,1.509737253,0.234861245,1.189278364,3.498617362,60.45546256,2.207151504,17.42735899
1990,YR1990,Canada,CAN,0.179973368,0.18526919,0.549339394,0.349427812,1.487486843,2.751496606,6.848740574,4.613974094,38.84551156
1990,YR1990,United Kingdom,GBR,0.040244865,0.009939821,0.000349171,0.073179709,0.882565641,1.006279207,75.24077212,27.3632869,11.48266027
1990,YR1990,United States,USA,0.195194427,0.125224518,0.047814588,0.161037649,0.703237008,1.232508189,46.61533624,20.27260737,33.02230821
1990,YR1990,Saudi Arabia,SAU,0,0.001281916,0.009388159,0.763971681,46.4263035,47.20094525,57.44130549,1.576971563,0.454484135
1990,YR1990,New Zealand,NZL,0.038777728,1.109526015,0.091343139,0.363191076,0.603822307,2.206660265,52.85405036,1.44316585,35.59405264
1990,YR1990,Norway,NOR,0.001328738,0.164494293,0.027805348,0.371596575,7.387785597,7.953010551,2.672186265,2.354590356,33.21615139
1990,YR1990,Netherlands,NLD,0,0.007400155,0,0.340615243,0.123024891,0.471040288,59.77488152,27.38151659,10.22896919
1990,YR1990,Japan,JPN,0.001454448,0.027072279,0.002931685,0.002612027,0.002799224,0.036869664,15.99561163,13.07734504,68.43115743
1990,YR1990,Ireland,IRL,0.000247675,0.056260819,0.155316915,0.075532718,0,0.287358128,65.86442154,5.727972129,6.701117724
1990,YR1990,Iceland,ISL,0,0,0,0,0,0,18.96259352,1.356608479,0.170274314
2000,YR2000,Australia,AUS,0.184104026,0.177575459,0.944083749,0.551817752,0.876745345,2.734326332,59.28810382,3.05546516,17.15815576
2000,YR2000,Canada,CAN,0.067837985,0.198401413,0.180010591,2.69008812,1.471179473,4.607517582,6.835802217,4.569805222,38.79298183
2000,YR2000,United Kingdom,GBR,0.003148351,0.004931927,3.94E-06,0.143159542,0.899607458,1.050851222,70.11945604,24.2880172,12.21014343
2000,YR2000,United States,USA,0.140193029,0.07262884,0.013440109,0.579475921,0.307551277,1.113289175,45.23058486,19.14096609,33.13017359
2000,YR2000,Saudi Arabia,SAU,0,0.000676587,0.000106455,0.998843715,41.66917084,42.6687976,80.84188883,1.6709386,0.454484135
2000,YR2000,New Zealand,NZL,0.027335483,0.957460925,0.07836799,0.772533985,0.520025634,2.355724018,46.86381983,1.533854012,37.41004899
2000,YR2000,Norway,NOR,0.000686832,0.045753989,0.002741254,0.679904115,11.56357406,12.29266025,2.852887385,2.406610376,33.16413138
2000,YR2000,Netherlands,NLD,0,0.003048502,0,0.343533263,0.04286617,0.389447935,58.0450237,30.29324645,10.64869668
2000,YR2000,Japan,JPN,5.00E-05,0.007644151,0.000539185,0.003699302,0.002046007,0.013978646,14.42524005,12.27434842,68.24691358
2000,YR2000,Ireland,IRL,0,0.026358629,0.023979848,0.025995594,0,0.076334071,63.81419655,7.085208303,9.150239512
2000,YR2000,Iceland,ISL,0,0,0,0,0,0,18.84289277,1.286783042,0.29755611
2013,YR2013,Australia,AUS,0.812671152,0.084201243,3.55343966,0.331288181,0.538515504,5.320115741,48.39371022,4.063991253,17.14006743
2013,YR2013,Canada,CAN,0.111210927,0.072668522,0.280229668,0,1.250093555,1.714202672,6.451555335,4.214223492,38.72565107
2013,YR2013,United Kingdom,GBR,0.006484682,0.006198029,3.18E-05,0.168648173,0.535996112,0.71735877,71.30244286,25.89757368,12.88223866
2013,YR2013,United States,USA,0.279719145,0.045107827,0.120356944,0,0.30565008,0.750833996,44.12468215,17.00516648,33.8395963
2013,YR2013,Saudi Arabia,SAU,0,0.001034407,0.06346643,1.009928093,44.45649855,45.53092748,80.61394899,1.427182524,0.454484135
2013,YR2013,New Zealand,NZL,0.067083316,0.5410579,0.255720128,0.203838463,0.453082036,1.520781843,42.17842087,2.077399263,37.39779727
2013,YR2013,Norway,NOR,0.005700005,0.036013478,0.040594942,2.536973783,5.549265222,8.168547429,2.703590045,2.212379906,33.2090866
2013,YR2013,Netherlands,NLD,0,0.002392216,0,1.068582701,0.048923099,1.119898016,54.84119917,30.82220243,10.93173048
2013,YR2013,Japan,JPN,0.000673584,0.012949635,0.002014283,0.004776299,0.002798886,0.023212687,13.42112483,11.62688615,68.45761317
2013,YR2013,Ireland,IRL,0,0.01807377,0.00433098,0.010424482,0.004259886,0.037089118,64.98766149,6.881114821,10.75561039
2013,YR2013,Iceland,ISL,0,0.000366094,0,0,0,0.000366094,18.67531172,1.208977556,0.466473815
2014,YR2014,Australia,AUS,0.752873825,0.119339116,2.91578772,0.484066275,0.488872501,4.760939437,48.73839866,4.160251487,17.23244601
2014,YR2014,Canada,CAN,0.076277415,0.076273544,0.252537146,0.118317835,1.165126995,1.688532935,6.459474502,4.241996344,38.72104457
2014,YR2014,United Kingdom,GBR,0.005253667,0.006095123,0,0.107032122,0.450978748,0.569359661,71.22721448,25.76571736,12.96160046
2014,YR2014,United States,USA,0.226671482,0.043889613,0.088046732,0.052319268,0.292226566,0.703153662,44.18436018,17.06484451,33.86965942
2014,YR2014,Saudi Arabia,SAU,0,0.001676096,0.05077833,0.964006596,40.32196899,41.33843001,80.74433988,1.595578897,0.454484135
2014,YR2014,New Zealand,NZL,0.041779898,0.494880819,0.185891579,0.279204465,0.427387592,1.429144352,42.21639892,2.240704873,37.39665034
2014,YR2014,Norway,NOR,0.005244687,0.042119185,0.025955915,1.901793767,5.542336367,7.517449921,2.702652366,2.213536817,33.23181086
2014,YR2014,Netherlands,NLD,0,0.002970583,0,0.625839472,0.061056568,0.689866623,54.58889878,31.01810626,10.88037993
2014,YR2014,Japan,JPN,0.00061134,0.015779615,0.001690094,0.006292105,0.00369773,0.028070884,13.36076818,11.5829904,68.44554184
2014,YR2014,Ireland,IRL,0,0.01758108,0.008395188,0.00548799,0.003931613,0.035395871,64.82798665,6.752503992,10.8551604
2014,YR2014,Iceland,ISL,0,0.000347133,0,0,0,0.000347133,18.67531172,1.208977556,0.473436409
2015,YR2015,Australia,AUS,0.467415278,0.115985892,1.851790924,0.604563396,0.197899254,3.237654745,45.31442407,4.04705622,17.3248246
2015,YR2015,Canada,CAN,0.067743431,0.076866056,0.153735193,0,0.034589158,0.332933838,6.467505206,4.269880733,38.71643807
2015,YR2015,United Kingdom,GBR,0.003523438,0.00515012,0,0.088790027,0.24024646,0.337710046,70.83867234,24.84602984,13.04096226
2015,YR2015,United States,USA,0.154809825,0.035786446,0.036250318,0,0.007525181,0.23437177,44.24402728,17.12451161,33.89972254
2015,YR2015,Saudi Arabia,SAU,0,0.001800468,0.055085655,0.841619086,23.95679932,24.85530453,80.77304169,1.623489899,0.454484135
2015,YR2015,New Zealand,NZL,0.023055901,0.61452466,0.13143114,0.31872527,0.19651207,1.284249039,40.68208575,1.815350727,37.3955034
2015,YR2015,Norway,NOR,0.003880448,0.043965778,0.011465559,1.957021253,3.146065577,5.162398616,2.700041376,2.210190457,33.24564399
2015,YR2015,Netherlands,NLD,0,0.005011181,0,0.409802072,0.027793411,0.442606663,54.82625483,30.94743095,10.83546184
2015,YR2015,Japan,JPN,0.000356435,0.017410263,0.001718848,0.007507121,0.001976045,0.028968712,13.29492455,11.53635117,68.43347051
2015,YR2015,Ireland,IRL,0,0.013874061,0.000547335,0.003073852,0.00127546,0.018770708,64.30541443,6.575700392,10.95471041
2015,YR2015,Iceland,ISL,0,0.000299592,0,0,0,0.000299592,18.67331671,1.206982544,0.480399002
2016,YR2016,Australia,AUS,0.595294475,0.136536318,2.588433725,0.587554401,0.173168976,4.080987895,44.53992579,3.907556143,17.42548771
